data;ora;evento;fuso
2026-09-24;09:00;Monza · RFID tag pick-up
2026-09-24;11:10;Monza · Private test 1
2026-09-24;14:50;Monza · Private test 2
2026-09-24;17:00;Monza · Ritiro gomme Michelin (Bronze)
2026-09-24;17:30;Monza · Ritiro gomme Michelin
2026-09-24;18:15;Monza · Track walk
2026-09-25;09:10;Monza · Technical scrutineering
2026-09-25;10:00;Monza · Briefing piloti & TM
2026-09-25;10:30;Monza · Briefing Team Manager
2026-09-25;11:20;Monza · Free practice 1
2026-09-25;15:50;Monza · Free practice 2
2026-09-25;17:30;Monza · Ritiro gomme Michelin
2026-09-26;09:00;Monza · Free practice 3 (Bronze)
2026-09-26;11:20;Monza · Qualifying 1 (Driver 1)
2026-09-26;14:45;Monza · Qualifying 2 (Driver 2)
2026-09-27;12:10;Monza · Pit lane open (GT Open 500)
2026-09-27;12:30;Monza · GARA GT Open 500
2026-09-24;18:30;cacca
